doi,issue,journal.id,journal.title,title,type,volume,year,open_access_types
10.1038/s41598-019-55186-8,1,jour.1045337,Scientific Reports,Onset of summer monsoon in Northeast India is preceded by enhanced transpiration,article,9,2019,Bronze
10.1038/s41598-019-44252-w,1,jour.1045337,Scientific Reports,Past and Future Hurricane Intensity Change along the U.S. East Coast,article,9,2019,Pure Gold
10.1038/s41598-018-36702-8,1,jour.1045337,Scientific Reports,pH Regulation and Tissue Coordination Pathways Promote Calcium Carbonate Bioerosion by Excavating Sponges,article,9,2019,Pure Gold
10.1007/s00382-017-3841-4,12,jour.1049631,Climate Dynamics,Evaluation of NMME temperature and precipitation bias and forecast skill for South Asia,article,53,2019,Hybrid
10.1038/s41598-019-48661-9,1,jour.1045337,Scientific Reports,An Observed Regime Shift in the Formation of Warm Core Rings from the Gulf Stream,article,9,2019,Bronze
10.1038/s41467-019-12810-5,1,jour.1043282,Nature Communications,Solar and wind energy enhances drought resilience and groundwater sustainability,article,10,2019,Bronze
10.1002/joc.6174,15,jour.1052080,International Journal of Climatology,Impact of the winter polar vortex on greater North America,article,39,2019,Hybrid
10.1038/s41598-019-53931-7,1,jour.1045337,Scientific Reports,High-resolution molecular identification of smalltooth sawfish prey,article,9,2019,Bronze
10.1038/s41612-019-0071-y,1,jour.1290454,npj Climate and Atmospheric Science,Robust skill of decadal climate predictions,article,2,2019,Pure Gold
10.1038/s41598-018-37527-1,1,jour.1045337,Scientific Reports,Tropical storms influence the movement behavior of a demersal oceanic fish species,article,9,2019,Pure Gold
10.1038/s41598-019-51461-w,1,jour.1045337,Scientific Reports,The Tibetan Plateau Uplift is Crucial for Eastward Propagation of Madden-Julian Oscillation,article,9,2019,Bronze
10.1038/s41598-019-43479-x,1,jour.1045337,Scientific Reports,Populations of the coral species Montastraea cavernosa on the Belize Barrier Reef lack vertical connectivity,article,9,2019,Pure Gold
10.1186/s41200-019-0169-2,1,jour.1041323,Marine Biodiversity Records,"A new record of Lamellibrachia columna (Siboglinidae, Annelida) from cold seeps off New Zealand, and an assessment of its presence in the western Pacific Ocean",article,12,2019,Pure Gold
10.1038/s41598-019-43620-w,1,jour.1045337,Scientific Reports,First in-situ observation of a moving natural pyroclastic density current using Doppler radar,article,9,2019,Pure Gold
10.1007/s00382-017-3721-y,12,jour.1049631,Climate Dynamics,Assessing probabilistic predictions of ENSO phase and intensity from the North American Multimodel Ensemble,article,53,2019,Hybrid
10.1126/sciadv.aax4631,12,jour.1051517,Science Advances,Atmospheric rivers drive flood damages in the western United States,article,5,2019,Bronze
10.1038/s41612-019-0063-y,1,jour.1290454,npj Climate and Atmospheric Science,Observational constraint of in-cloud supersaturation for simulations of aerosol rainout in atmospheric models,article,2,2019,Pure Gold
10.1038/s41598-019-43435-9,1,jour.1045337,Scientific Reports,Reconstruction of larval origins based on genetic relatedness and biophysical modeling,article,9,2019,Pure Gold
10.1038/s41597-019-0119-1,1,jour.1050678,Scientific Data,Six years of ecosystem-atmosphere greenhouse gas fluxes measured in a sub-boreal forest,article,6,2019,Pure Gold
10.1038/s41598-019-50643-w,1,jour.1045337,Scientific Reports,Heat wave Intensity Duration Frequency Curve: A Multivariate Approach for Hazard and Attribution Analysis,article,9,2019,Bronze
10.1038/s41598-019-39475-w,1,jour.1045337,Scientific Reports,Mixed stock analysis of juvenile green turtles aggregating at two foraging grounds in Fiji reveals major contribution from the American Samoa Management Unit,article,9,2019,Pure Gold
10.1038/s41598-019-41562-x,1,jour.1045337,Scientific Reports,Important evidence of constant low CO2 windows and impacts on the non-closure of the greenhouse effect,article,9,2019,Pure Gold
10.1186/s12862-019-1465-5,1,jour.1024249,BMC Evolutionary Biology,"Lacking catalase, a protistan parasite draws on its photosynthetic ancestry to complete an antioxidant repertoire with ascorbate peroxidase",article,19,2019,Pure Gold
10.1038/s41598-019-52504-y,1,jour.1045337,Scientific Reports,Socioeconomic and environmental predictors of estuarine shoreline hard armoring,article,9,2019,Bronze
10.1038/s42003-019-0452-0,1,jour.1300829,Communications Biology,Bigmouth Buffalo Ictiobus cyprinellus sets freshwater teleost record as improved age analysis reveals centenarian longevity,article,2,2019,Pure Gold
10.1038/s41467-019-09238-2,1,jour.1043282,Nature Communications,A global analysis of coral bleaching over the past two decades,article,10,2019,Pure Gold
10.1038/s41467-019-12600-z,1,jour.1043282,Nature Communications,Mesopelagic fishes dominate otolith record of past two millennia in the Santa Barbara Basin,article,10,2019,Bronze
10.1038/s41598-019-42288-6,1,jour.1045337,Scientific Reports,Environmental predictors of habitat suitability and occurrence of cetaceans in the western North Atlantic Ocean,article,9,2019,Pure Gold
10.1038/s41598-019-41196-z,1,jour.1045337,Scientific Reports,Uncertainty and hotspots in 21st century projections of agricultural drought from CMIP5 models,article,9,2019,Pure Gold
10.1038/s41612-019-0074-8,1,jour.1290454,npj Climate and Atmospheric Science,Hurricane stalling along the North American coast and implications for rainfall,article,2,2019,Pure Gold
10.1186/s40623-019-1056-0,1,jour.1294798,"Earth, Planets and Space",On some features characterizing the plasmasphere–magnetosphere–ionosphere system during the geomagnetic storm of 27 May 2017,article,71,2019,Pure Gold
10.1038/s41467-019-09424-2,1,jour.1043282,Nature Communications,Nitrogen-fixing trees could exacerbate climate change under elevated nitrogen deposition,article,10,2019,Pure Gold
10.1038/s41467-019-09419-z,1,jour.1043282,Nature Communications,Diel population and functional synchrony of microbial communities on coral reefs,article,10,2019,Pure Gold
10.1038/s41598-019-42013-3,1,jour.1045337,Scientific Reports,"Coral Skeleton δ15N as a Tracer of Historic Nutrient Loading to a Coral Reef in Maui, Hawaii",article,9,2019,Pure Gold
10.1038/s41598-019-47161-0,1,jour.1045337,Scientific Reports,Evidence and patterns of tuna spawning inside a large no-take Marine Protected Area,article,9,2019,Pure Gold
10.1038/s41598-019-51699-4,1,jour.1045337,Scientific Reports,Viral emergence in marine mammals in the North Pacific may be linked to Arctic sea ice reduction,article,9,2019,Bronze
10.1038/s41612-019-0077-5,1,jour.1290454,npj Climate and Atmospheric Science,Recent changes in the South America low-level jet,article,2,2019,Pure Gold
10.1038/s41598-019-42820-8,1,jour.1045337,Scientific Reports,Slow Down of the Gulf Stream during 1993–2016,article,9,2019,Pure Gold
10.1186/s12862-019-1413-4,1,jour.1024249,BMC Evolutionary Biology,Evidence of local adaptation in a waterfall-climbing Hawaiian goby fish derived from coupled biophysical modeling of larval dispersal and post-settlement selection,article,19,2019,Pure Gold
10.1007/s00382-017-3794-7,12,jour.1049631,Climate Dynamics,A dynamical statistical framework for seasonal streamflow forecasting in an agricultural watershed,article,53,2019,Hybrid
10.1038/s41598-019-47200-w,1,jour.1045337,Scientific Reports,A novel integrative approach elucidates fine-scale dispersal patchiness in marine populations,article,9,2019,Bronze
10.1038/s41598-019-51019-w,1,jour.1045337,Scientific Reports,Upper-tropospheric bridging of wintertime surface climate variability in the Euro-Atlantic region and northern Asia,article,9,2019,Bronze
10.1038/s41598-019-41064-w,1,jour.1045337,Scientific Reports,Hot Spots of Carbon and Alkalinity Cycling in the Coastal Oceans,article,9,2019,Pure Gold
10.1038/s41598-019-40065-z,1,jour.1045337,Scientific Reports,Estimating Natural Mortality of Atlantic Bluefin Tuna Using Acoustic Telemetry,article,9,2019,Pure Gold
10.1038/s41598-019-53371-3,1,jour.1045337,Scientific Reports,Continuation of tropical Pacific Ocean temperature trend may weaken extreme El Niño and its linkage to the Southern Annular Mode,article,9,2019,Bronze
10.1038/s41598-019-53643-y,1,jour.1045337,Scientific Reports,Breakthrough in Marine Invertebrate Cell Culture: Sponge Cells Divide Rapidly in Improved Nutrient Medium,article,9,2019,Bronze
10.1038/s41467-019-13294-z,1,jour.1043282,Nature Communications,Tidal wetland resilience to sea level rise increases their carbon sequestration capacity in United States,article,10,2019,Bronze
10.1038/s41598-019-46169-w,1,jour.1045337,Scientific Reports,Precipitation regime change in Western North America: The role of Atmospheric Rivers,article,9,2019,Pure Gold
10.1038/s41612-019-0070-z,1,jour.1290454,npj Climate and Atmospheric Science,Little evidence of reduced global tropical cyclone activity following recent volcanic eruptions,article,2,2019,Pure Gold
10.1111/eva.12861,10,jour.1039394,Evolutionary Applications,Novel signals of adaptive genetic variation in northwestern Atlantic cod revealed by whole‐genome sequencing,article,12,2019,Bronze
10.1038/s41598-019-45503-6,1,jour.1045337,Scientific Reports,Plant detritus is selectively consumed by estuarine copepods and can augment their survival,article,9,2019,Pure Gold
10.1038/s41598-019-45213-z,1,jour.1045337,Scientific Reports,Land use and land cover change effect on surface temperature over Eastern India,article,9,2019,Pure Gold
10.1038/s41598-019-47587-6,1,jour.1045337,Scientific Reports,"Characterizing the deep uncertainties surrounding coastal flood hazard projections: A case study for Norfolk, VA",article,9,2019,Bronze
10.1038/s41467-019-10206-z,1,jour.1043282,Nature Communications,A global assessment of marine heatwaves and their drivers,article,10,2019,Pure Gold
10.1038/s41598-019-41213-1,1,jour.1045337,Scientific Reports,Eco-physiological responses of copepods and pteropods to ocean warming and acidification,article,9,2019,Pure Gold
10.1038/s41598-019-40742-z,1,jour.1045337,Scientific Reports,Dynamic flood modeling essential to assess the coastal impacts of climate change,article,9,2019,Pure Gold
10.1007/s00382-017-3603-3,12,jour.1049631,Climate Dynamics,Deterministic skill of ENSO predictions from the North American Multimodel Ensemble,article,53,2019,Hybrid
10.1038/s41598-019-44566-9,1,jour.1045337,Scientific Reports,Annual Thermal Stress Increases a Soft Coral’s Susceptibility to Bleaching,article,9,2019,Pure Gold
10.1038/s41598-019-49115-y,1,jour.1045337,Scientific Reports,"Migrating eastern North Pacific gray whale call and blow rates estimated from acoustic recordings, infrared camera video, and visual sightings",article,9,2019,Bronze
10.1038/s41598-019-43466-2,1,jour.1045337,Scientific Reports,Open-ocean polynyas and deep convection in the Southern Ocean,article,9,2019,Pure Gold
10.1038/s41598-019-42944-x,1,jour.1045337,Scientific Reports,Warmer waters masculinize wild populations of a fish with temperature-dependent sex determination,article,9,2019,Pure Gold
10.1007/s00382-017-3670-5,12,jour.1049631,Climate Dynamics,Seasonal forecasts of North Atlantic tropical cyclone activity in the North American Multi-Model Ensemble,article,53,2019,"Green, Accepted"
10.1007/s00382-016-3286-1,12,jour.1049631,Climate Dynamics,Evaluation of the skill of North-American Multi-Model Ensemble (NMME) Global Climate Models in predicting average and extreme precipitation and temperature over the continental USA,article,53,2019,"Green, Submitted"
10.1186/s40462-019-0164-6,1,jour.1050327,Movement Ecology,Ecological correlates of blue whale movement behavior and its predictability in the California Current Ecosystem during the summer-fall feeding season,article,7,2019,Pure Gold
10.1038/s41467-018-07954-9,1,jour.1043282,Nature Communications,Arctic amplification is caused by sea-ice loss under increasing CO2,article,10,2019,Pure Gold
10.1038/s41467-019-10054-x,1,jour.1043282,Nature Communications,Coral carbon isotope sensitivity to growth rate and water depth with paleo-sea level implications,article,10,2019,Pure Gold
10.1038/s41598-018-38034-z,1,jour.1045337,Scientific Reports,Global Disease Outbreaks Associated with the 2015–2016 El Niño Event,article,9,2019,Pure Gold
10.1038/s41598-019-54855-y,1,jour.1045337,Scientific Reports,Microbiome differences in disease-resistant vs. susceptible Acropora corals subjected to disease challenge assays,article,9,2019,Bronze
10.3390/rs11232843,23,jour.1049580,Remote Sensing,Retrieval of Global Orbit Drift Corrected Land Surface Temperature from Long-term AVHRR Data,article,11,2019,Bronze
10.5194/amt-12-6303-2019,12,jour.1049386,Atmospheric Measurement Techniques Discussions,"Isotopic characterization of nitrogen oxides (NOx), nitrous acid (HONO), and nitrate (pNO3−) from laboratory biomass burning during FIREX",article,12,2019,Bronze
10.3390/rs11232773,23,jour.1049580,Remote Sensing,Evaluating HF Coastal Radar Site Performance for Tsunami Warning,article,11,2019,Bronze
10.1111/eva.12892,,jour.1039394,Evolutionary Applications,"Genome‐wide SNPs resolve spatiotemporal patterns of connectivity within striped marlin (Kajikia audax), a broadly distributed and highly migratory pelagic species",article,,2019,Bronze
10.1371/journal.pone.0225183,11,jour.1037553,PLoS ONE,Population productivity of shovelnose rays: Inferring the potential for recovery,article,14,2019,Bronze
10.1002/ece3.5847,,jour.1045551,Ecology and Evolution,Mitogenomic phylogenetic analyses of Leptogorgia virgulata and Leptogorgia hebes (Anthozoa: Octocorallia) from the Gulf of Mexico provides insight on Gorgoniidae divergence between Pacific and Atlantic lineages,article,,2019,Bronze
10.1371/journal.pone.0225325,11,jour.1037553,PLoS ONE,Ocean sound levels in the northeast Pacific recorded from an autonomous underwater glider,article,14,2019,Bronze
10.3389/fmars.2019.00709,,jour.1050424,Frontiers in Marine Science,Phenotypic Plasticity or a Reproductive Dead End? Primnoa pacifica (Cnidaria: Alcyonacea) in the Southeastern Alaska Region,article,6,2019,Bronze
10.1080/1755876x.2018.1543982,sup2,jour.1146961,Journal of Operational Oceanography,"The Ocean Enterprise – understanding and quantifying business activity in support of observing, measuring and forecasting the ocean",article,12,2019,Bronze
10.1080/1755876x.2018.1526463,sup2,jour.1146961,Journal of Operational Oceanography,Challenges for global ocean observation: the need for increased human capacity,article,12,2019,Bronze
10.3389/fmars.2019.00710,,jour.1050424,Frontiers in Marine Science,"Humpback Whale Movements and Behavior in Response to Whale-Watching Vessels in Juneau, AK",article,6,2019,Bronze
10.1111/eva.12890,,jour.1039394,Evolutionary Applications,Restoration‐mediated secondary contact leads to introgression of alewife ecotypes separated by a colonial‐era dam,article,,2019,Bronze
10.1088/1748-9326/ab4d33,11,jour.1137748,Environmental Research Letters,Ocean and atmosphere influence on the 2015 European heatwave,article,14,2019,Bronze
10.3389/fmars.2019.00684,,jour.1050424,Frontiers in Marine Science,Distributions of the Pelagic Holothurian Pelagothuria in the Central Pacific Ocean as Observed by Remotely-Operated Vehicle Surveys,article,6,2019,Bronze
10.3389/fmars.2019.00695,,jour.1050424,Frontiers in Marine Science,Bridging From Monitoring to Solutions-Based Thinking: Lessons From CalCOFI for Understanding and Adapting to Marine Climate Change Impacts,article,6,2019,Bronze
10.3390/rs11222655,22,jour.1049580,Remote Sensing,"Developing Land Surface Directional Reflectance and Albedo Products from Geostationary GOES-R and Himawari Data: Theoretical Basis, Operational Implementation, and Validation",article,11,2019,Bronze
10.3390/rs11222639,22,jour.1049580,Remote Sensing,Evapotranspiration Data Product from NESDIS GET-D System Upgraded for GOES-16 ABI Observations,article,11,2019,Bronze
10.1088/1748-9326/ab4b41,11,jour.1137748,Environmental Research Letters,Projected increase in the spatial extent of contiguous US summer heat waves and associated attributes,article,14,2019,Bronze
10.1088/1748-9326/ab4de7,11,jour.1137748,Environmental Research Letters,Observed changes in Brewer–Dobson circulation for 1980–2018,article,14,2019,Bronze
10.3389/fmars.2019.00673,,jour.1050424,Frontiers in Marine Science,Molecular Level Analysis Reveals Changes in Chemical Composition of Dissolved Organic Matter From South Texas Rivers After High Flow Events,article,6,2019,Bronze
10.5194/amt-12-5829-2019,11,jour.1049386,Atmospheric Measurement Techniques Discussions,Performance of a new coaxial ion–molecule reaction region for low-pressure chemical ionization mass spectrometry with reduced instrument wall interactions,article,12,2019,Bronze
10.3390/ijerph16224341,22,jour.1034947,International Journal of Environmental Research and Public Health,Forecasting Seasonal Vibrio parahaemolyticus Concentrations in New England Shellfish,article,16,2019,Bronze
10.3389/fmars.2019.00672,,jour.1050424,Frontiers in Marine Science,Gene Expression of Endangered Coral (Orbicella spp.) in Flower Garden Banks National Marine Sanctuary After Hurricane Harvey,article,6,2019,Bronze
10.3390/su11216090,21,jour.1046556,Sustainability,Trust and Influence in the Gulf of Mexico’s Fishery Public Management Network,article,11,2019,Bronze
10.1007/s00704-019-02864-2,4-Mar,jour.1086664,Theoretical and Applied Climatology,The role of natural factors (part 2): Indian summer monsoon in climate change period—observation and CMIP5 models,article,138,2019,Hybrid
10.1016/j.chemgeo.2017.12.019,Deep Sea Res. Part A 35 1988,jour.1026405,Chemical Geology,Impact of skeletal heterogeneity and treatment method on interpretation of environmental variability from the proteinaceous skeletons of deep-sea gorgonian octocorals,article,526,2019,"Green, Published"
10.1002/lno.11199,6,jour.1126634,Limnology and Oceanography,Optical characterization of marine phytoplankton assemblages within surface waters of the western Arctic Ocean,article,64,2019,Hybrid
10.1038/s41396-019-0472-2,11,jour.1038436,The ISME Journal,"Diel transcriptional response of a California Current plankton microbiome to light, low iron, and enduring viral infection",article,13,2019,Hybrid
10.1016/j.atmosres.2019.05.021,,jour.1031343,Atmospheric Research,A modelling study of the continuous ice formation in an autumnal arctic mixed-phase cloud case,article,228,2019,Hybrid
10.1002/ecs2.2919,11,jour.1047660,Ecosphere,"Multigenerational migration of fall armyworm, a pest insect",article,10,2019,Bronze
10.1002/ecs2.2923,11,jour.1047660,Ecosphere,"Temperature, phenology, and turf macroalgae drive seascape change: Connections to mid‐trophic level species",article,10,2019,Bronze
10.1016/j.jqsrt.2019.04.030,,jour.1129650,Journal of Quantitative Spectroscopy and Radiative Transfer,Five decades observing Earth’s atmospheric trace gases using ultraviolet and visible backscatter solar radiation from space,article,238,2019,Hybrid
10.1007/s10712-019-09549-5,6,jour.1051934,Surveys in Geophysics,"Interactions Between Mean Sea Level, Tide, Surge, Waves and Flooding: Mechanisms and Contributions to Sea Level Variations at the Coast",article,40,2019,Hybrid
10.1002/ecs2.2920,11,jour.1047660,Ecosphere,Data system design alters meaning in ecological data: salmon habitat restoration across the U.S. Pacific Northwest,article,10,2019,Bronze
10.1098/rsos.190368,10,jour.1051026,Royal Society Open Science,Assessing the recovery of an Antarctic predator from historical exploitation,article,6,2019,Bronze
10.3389/fmars.2019.00641,,jour.1050424,Frontiers in Marine Science,Progress on Implementing Ecosystem-Based Fisheries Management in the United States Through the Use of Ecosystem Models and Analysis,article,6,2019,Bronze
10.1371/journal.pone.0224513,10,jour.1037553,PLoS ONE,Parallels between stream and coastal water quality associated with groundwater discharge,article,14,2019,Bronze
10.5194/acp-19-13267-2019,20,jour.1033685,Atmospheric Chemistry and Physics,Prior biosphere model impact on global terrestrial CO2 fluxes estimated from OCO-2 retrievals,article,19,2019,Bronze
10.3390/rs11212478,21,jour.1049580,Remote Sensing,Remotely-Observed Early Spring Warming in the Southwestern Yellow Sea Due to Weakened Winter Monsoon,article,11,2019,Bronze
10.1088/1748-9326/ab422b,11,jour.1137748,Environmental Research Letters,Mid-20th century warming hole boosts US maize yields,article,14,2019,Bronze
10.1111/eva.12874,,jour.1039394,Evolutionary Applications,Genetic evidence of a northward range expansion in the eastern Bering Sea stock of Pacific cod,article,,2019,Bronze
10.7717/peerj.7780,,jour.1136887,PeerJ,Population genetics and historical demographic inferences of the blue crab Callinectes sapidus in the US based on microsatellites,article,7,2019,Bronze
10.3390/w11102133,10,jour.1048809,Water,Dynamics of Mesozooplankton Assemblage in Relation to Environmental Factors in the Maryland Coastal Bays,article,11,2019,Bronze
10.3390/rs11202360,20,jour.1049580,Remote Sensing,Ocean Response to Successive Typhoons Sarika and Haima (2016) Based on Data Acquired via Multiple Satellites and Moored Array,article,11,2019,Bronze
10.5194/acp-19-12749-2019,19,jour.1033685,Atmospheric Chemistry and Physics,Chemical composition and hydrolysis of organic nitrate aerosol formed from hydroxyl and nitrate radical oxidation of α-pinene and β-pinene,article,19,2019,Bronze
10.1371/journal.pone.0223102,10,jour.1037553,PLoS ONE,Recovery when you are on your own: Slow population responses in an isolated marine reserve,article,14,2019,Bronze
10.3390/ijgi8100444,10,jour.1049476,ISPRS International Journal of Geo-Information,Ensemble Neural Networks for Modeling DEM Error,article,8,2019,Bronze
10.1371/journal.pone.0222282,10,jour.1037553,PLoS ONE,A global spatial analysis reveals where marine aquaculture can benefit nature and people,article,14,2019,Bronze
10.1155/2019/9461513,,jour.1139499,Advances in Meteorology,Drought Early Warning and the Timing of Range Managers’ Drought Response,article,2019,2019,Bronze
10.5194/acp-19-12587-2019,19,jour.1033685,Atmospheric Chemistry and Physics,Estimating background contributions and US anthropogenic enhancements to maximum ozone concentrations in the northern US,article,19,2019,Bronze
10.1371/journal.pone.0223587,10,jour.1037553,PLoS ONE,Identifying genetic lineages through shape: An example in a cosmopolitan marine turtle species using geometric morphometrics,article,14,2019,Bronze
10.3389/fmars.2019.00587,,jour.1050424,Frontiers in Marine Science,"Coastal Harmful Algae Bloom Monitoring via a Sustainable, Sail-Powered Mobile Platform",article,6,2019,Bronze
,,,,,,,,
 'country': 'Japan', 'state': None, 'state_code': None}]}, {'first_name': 'Stephanie', 'corresponding': '', 'orcid': '', 'current_organization_id': '', 'researcher_id': '', 'affiliations': [{'id': 'grid.17091.3e'
10.1093/gji/ggz309,1,jour.1037680,Geophysical Journal International,Far-field tsunami data assimilation for the 2015 Illapel earthquake,article,219,2019,Bronze
10.1002/asl.933,10,jour.1139748,Atmospheric Science Letters,Consecutive extreme flooding and heat wave in Japan: Are they becoming a norm?,article,20,2019,Bronze
10.1002/ecs2.2867,10,jour.1047660,Ecosphere,Nonconsumptive effects of a range‐expanding predator on juvenile lobster (Homarus americanus) population dynamics,article,10,2019,Bronze
10.1111/1365-2435.13377,10,jour.1040295,Functional Ecology,Changing perspectives on terrestrial nitrogen cycling: The importance of weathering and evolved resource‐use traits for understanding ecosystem responses to global change,article,33,2019,Bronze
10.1007/s10291-019-0896-1,4,jour.1136132,GPS Solutions,Introducing a vertical land motion model for improving estimates of sea level rates derived from tide gauge records affected by earthquakes,article,23,2019,Hybrid
10.1002/ece3.5645,19,jour.1045551,Ecology and Evolution,Testing adaptive hypotheses on the evolution of larval life history in acorn and stalked barnacles,article,9,2019,Bronze
10.1007/s00382-019-04760-x,8-Jul,jour.1049631,Climate Dynamics,Dominant patterns of winter-time intraseasonal surface air temperature over the CONUS in response to MJO convections,article,53,2019,Hybrid
10.1007/s00382-019-04835-9,8-Jul,jour.1049631,Climate Dynamics,Skill of dynamical and GHACOF consensus seasonal forecasts of East African rainfall,article,53,2019,Hybrid
10.1016/j.ecss.2019.106277,,jour.1120689,Estuarine Coastal and Shelf Science,Retrieval of nearshore bathymetry from Sentinel-2A and 2B satellites in South Florida coastal waters,article,226,2019,Hybrid
10.1007/s00382-019-04800-6,8-Jul,jour.1049631,Climate Dynamics,Seasonal forecasts of the East African long rains: insight from atmospheric relaxation experiments,article,53,2019,Hybrid
